Feature_Designation_Code,Feature_Designation_Name,Feature_Designation_Description,Collection_Guidance,Feature_Class
ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",Center of Feature (changes to primary name or designation require BGN/FNC approval),A - Administrative Regions
ADM2,second-order administrative division,a subdivision of a first-order administrative division,Center of Feature,A - Administrative Regions
ADM3,third-order administrative division,a subdivision of a second-order administrative division,Center of Feature,A - Administrative Regions
ADM4,fourth-order administrative division,a subdivision of a third-order administrative division,Center of Feature,A - Administrative Regions
ADMD,administrative division,"an administrative division of a political entity, undifferentiated as to administrative level",Center of Feature,A - Administrative Regions
ADMF,administrative facility,a building that houses one or more functions of government.   Not related to any specific level of government,Center of Feature,S - Spot Features
ADMS,school district,school district,Center of Feature,A - Administrative Regions
AGRC,agricultural colony,a tract of land set aside for agricultural settlement,Center of Feature,L - Areas/Localities
AGRF,agricultural facility,a building and/or tract of land used for improving agriculture,Center of Feature,S - Spot Features
AIRB,airbase,"an area used to store supplies, provide barracks for air force personnel, hangars and runways for aircraft, and from which operations are initiated",Center of Feature,S - Spot Features
AIRF,airfield,a place on land where aircraft land and take off; no facilities provided for the commercial handling of passengers and cargo,Center of Feature,S - Spot Features
AIRG,hangar,a covered and usually enclosed area for housing and repairing aircraft,Center of Feature,S - Spot Features
AIRH,heliport,a place where helicopters land and take off,Center of Feature,S - Spot Features
AIRP,airport,"a place where aircraft regularly land and take off, with runways, navigational aids, and major facilities for the commercial handling of passengers and cargo",Center of Feature,S - Spot Features
AIRQ,abandoned airfield,abandoned airfield,Center of Feature,S - Spot Features
AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off,Center of Feature,H - Hydrographic
AIRT,terminal,airport facilities for the handling of freight and passengers,Center of Feature,S - Spot Features
AMTH,amphitheater,an oval or circular structure with rising tiers of seats about a stage or open space,Center of Feature,S - Spot Features
ANCH,anchorage,an area where vessels may anchor,Center of Feature,H - Hydrographic
ANS,ancient site,"a place where archeological remains, old structures, or cultural artifacts are located",Center of Feature,S - Spot Features
APNU,undersea apron,"a gentle slope, with a generally smooth surface, particularly found around groups of islands and seamounts",Center of Feature (modification/addition requires ACUF approval),U - Undersea
AQC,aquaculture facility,"facility or area for the cultivation of aquatic animals and plants, especially fish, shellfish, and seaweed, in natural or controlled marine or freshwater environments; underwater agriculture",Center of Feature,S - Spot Features
ARCH,arch,a natural or man-made structure in the form of an arch,Center of Feature,S - Spot Features
ARCU,undersea arch,a low bulge around the southeastern end of the island of Hawaii,Center of Feature (modification/addition requires ACUF approval),U - Undersea
AREA,area,a tract of land without homogeneous character or boundaries,Center of Feature,L - Areas/Localities
